Simga,Rajim,Rampur,Andhiyarkhore,Ghatora,Bamnidhi,Kurubhata,Kelo,Sundargarh,Paramanpur,Basantpur,Hirakud,Mean_areal_rainfall_upper
5024.0,530.5,300.8,63.0,0.877,154.7,482.5,0.0,196.8,0.0,8251.0,12889.1,0.6317265822784812
1074.0,314.11,129.6,23.5,0.796,99.7,350.0,0.0,111.1,0.0,6102.0,7267.9,0.9282544303797466
444.7,206.72,97.0,14.426,0.773,104.1,268.6,0.0,81.34,0.0,2507.0,5561.23,3.318162025316456
498.9,252.95,95.0,62.0,0.701,110.3,166.5,0.0,265.4,0.0,1085.0,3302.0,18.05079367088608
769.2,252.0,80.0,100.0,0.611,167.9,122.9,0.0,277.1,0.0,1161.0,2093.24,4.604886075949367
515.1,198.51,100.0,52.0,1.0,127.7,92.63,0.0,126.6,0.0,1842.0,1983.87,1.8514664556962026
316.41,150.91,99.0,24.4,1.771,143.2,31.0,0.0,138.6,0.0,1680.0,2285.76,23.010528481012656
273.4,325.98,43.5,24.05,1.872,620.6,25.39,0.0,335.7,0.0,2000.0,2943.33,14.86182341772152
395.4,171.3,291.5,59.0,1.252,350.9,140.0,0.0,244.8,0.0,2786.0,5077.61,23.838584810126584
1129.0,126.0,324.2,66.25,9.462,333.6,93.02,0.0,501.2,0.0,3292.0,4458.08,13.270411392405062
845.4,170.3,254.8,30.96,25.3,177.3,76.9,0.0,586.4,0.0,3538.0,4838.36,6.302715189873416
522.3,170.0,170.0,20.63,11.0,161.4,400.7,0.0,455.35,0.0,2591.0,4777.36,5.377328481012658
319.6,67.99,120.5,28.93,12.0,129.6,391.4,0.0,273.5,0.0,1839.0,3757.55,15.160614556962024
269.2,68.96,120.7,33.07,10.2,400.9,450.0,0.0,500.5,0.0,1868.0,4872.88,32.06058417721519
373.4,495.73,143.5,34.0,6.093,550.4,354.9,0.0,450.23,0.0,2257.0,4772.49,28.27204050632912
1600.0,800.0,800.0,50.04,3.27,350.0,230.0,0.0,403.012,0.0,3600.0,3856.22,13.645593037974683
1314.0,489.14,339.7,64.6,2.854,450.06,200.2,0.0,400.9,0.0,4449.0,4385.64,2.931477215189873
648.4,381.89,166.0,33.58,4.0,152.0,386.2,0.0,249.4,0.0,3923.0,6682.56,2.113175316455696
412.5,265.0,120.0,21.36,6.28,124.7,300.8,0.0,155.9,0.0,2657.0,4719.7,3.579212658227849
304.3,346.94,99.86,15.86,25.0,64.22,220.0,0.0,150.3,0.0,1515.0,2875.39,4.218043670886075
258.7,180.0,68.0,13.02,90.0,119.1,325.8,0.0,95.5,0.0,1465.0,1731.2,2.0044702531645573
209.6,112.0,49.24,11.14,50.09,94.39,196.3,0.0,122.2,0.0,1079.0,1509.26,1.3504924050632916
181.3,82.59,55.22,10.51,15.64,116.7,124.0,0.0,89.86,0.0,965.5,1422.85,8.743678481012656
324.5,363.97,73.35,32.23,8.0,115.0,84.94,0.0,100.0,0.0,1005.0,1460.12,15.914352531645559
480.9,464.08,176.7,30.76,5.952,188.1,100.0,0.0,252.4,0.0,1733.0,1756.58,9.427924683544301
494.8,263.0,100.0,25.0,4.247,256.56,103.2,0.0,212.2,0.0,2903.0,2401.76,6.939232911392403
454.8,145.02,80.9,80.8,35.0,283.0,103.4,0.0,282.304,0.0,2754.0,2955.19,7.478737974683549
369.7,106.18,49.9,30.69,22.0,179.6,138.8,0.0,283.236,0.0,2100.0,2941.32,11.539415189873422
281.4,67.22,40.53,18.43,17.0,148.1,202.8,0.0,551.9,0.0,1682.0,2810.02,10.411775949367089
246.4,55.85,39.55,19.2,35.0,550.0,192.0,0.0,475.6,0.0,1760.0,3002.97,11.370737341772154
207.4,36.32,59.27,23.0,45.16,500.1,280.5,0.0,500.0,0.0,2233.0,3127.21,6.723911392405064
173.7,33.3,64.99,20.58,64.0,193.5,236.8,0.0,405.6,0.0,1909.0,3242.41,4.5571582278481015
138.5,50.0,55.0,28.0,55.0,146.1,181.0,0.0,232.12,0.0,1380.0,2821.58,6.006877215189871
249.8,23.63,46.81,41.81,160.0,128.6,290.8,0.0,183.1,0.0,1315.0,1642.9,7.743219620253166
238.6,80.56,108.9,28.13,170.0,122.0,324.1,0.0,253.6,0.0,1541.0,1579.18,7.753905696202528
215.2,70.27,48.13,21.87,82.0,94.54,192.5,0.0,208.4,0.0,1463.0,1819.08,5.169960126582281
206.1,215.45,46.07,18.67,140.0,96.38,140.0,0.0,140.2,0.0,1590.0,1801.55,14.126325949367082
499.7,1150.0,50.41,26.605,110.0,144.22,148.6,0.0,117.9,0.0,1570.0,1690.53,32.90069430379746
2268.0,2200.0,102.0,64.0,170.0,165.39,350.4,0.0,92.98,0.0,3500.0,1971.78,9.397494936708854
3401.0,1120.0,99.0,99.0,170.0,114.02,157.3,0.0,224.22,0.0,6233.0,4234.29,11.829989240506329
2837.0,408.1,78.76,64.0,125.0,91.3,100.0,0.0,575.33,0.0,6054.0,6808.89,7.141967721518986
838.7,365.5,65.5,44.338,140.0,126.3,101.08,0.0,450.35,0.0,4288.0,6852.22,7.741129113924048
539.1,170.1,48.05,30.69,100.0,117.7,131.2,0.0,600.23,0.0,2328.0,5059.96,8.505070253164554
391.7,212.8,38.05,25.356,65.0,92.2,126.0,0.0,550.3,0.0,1731.0,4069.02,5.526287974683545
286.3,103.0,22.47,13.906,30.0,62.27,335.1,0.0,400.3,0.0,1358.0,3716.55,0.3072620253164557
217.6,60.69,18.51,14.016,20.0,52.11,325.9,0.0,274.2,0.0,1076.0,2015.25,1.2772943037974684
179.8,22.0,12.0,13.0,90.0,47.16,325.6,0.0,195.8,0.0,812.0,1271.57,0.3641670886075949
154.5,37.22,9.594,14.9,85.0,77.88,242.9,0.0,152.9,0.0,811.5,1150.42,2.1703544303797457
141.5,29.08,8.96,11.961,40.0,73.1,252.8,0.0,106.7,0.0,801.9,891.938,3.7029582278481015
137.9,28.12,6.521,19.972,100.0,68.27,154.9,0.0,109.1,0.0,725.1,876.532,1.4468987341772153
129.3,54.99,6.236,12.223,309.69,77.7,124.0,0.0,99.56,0.0,513.4,770.927,4.502437341772152
172.5,83.74,6.937,16.404,170.0,51.94,119.8,0.0,94.75,0.0,472.7,791.827,3.2934031645569624
226.4,139.7,10.22,15.363,370.1,77.34,98.77,0.0,158.0,0.0,569.4,654.645,8.806844303797462
401.4,139.0,20.0,18.0,249.5,118.9,95.32,0.0,109.556,0.0,757.6,863.448,6.997298101265825
408.9,100.2,20.56,29.518,211.5,120.9,86.88,0.0,213.4,0.0,1135.0,1198.25,11.31173101265823
451.4,109.2,28.18,27.0,110.0,86.71,95.63,0.0,350.9,0.0,1293.0,1536.53,3.753821518987341
315.5,75.93,51.63,19.62,147.7,120.3,129.9,0.0,237.0,0.0,1329.0,1787.98,2.1949151898734183
242.3,77.09,38.53,15.611,499.2,168.39,200.0,0.0,194.2,0.0,1036.0,1675.41,1.670841772151899
187.7,86.65,28.61,13.527,230.0,103.0,195.62,0.0,114.1,0.0,815.6,1480.46,2.5111303797468354
160.7,43.77,21.35,11.035,184.2,114.8,142.5,0.0,90.31,0.0,711.5,1312.89,0.15835759493670884
137.2,35.0,12.0,10.0,161.2,80.0,133.5,0.0,84.011,0.0,684.1,933.739,0.15937911392405066
121.6,25.47,15.69,9.91,95.0,68.74,112.45,0.0,65.48,0.0,482.3,828.133,0.49111329113924057
109.8,32.73,12.64,8.4,60.0,119.0,95.95,0.0,57.67,0.0,460.9,690.385,3.0222575949367085
106.5,34.68,8.778,7.461,70.0,44.9,87.41,8.5,52.51,0.0,464.1,1036.51,2.7961531645569617
102.8,25.83,6.807,7.019,40.0,41.9,59.1,7.0,49.43,0.0,434.1,899.103,3.190853164556962
101.7,26.06,6.321,6.707,35.0,37.15,55.16,11.39,50.97,0.0,400.7,751.839,1.620404430379747
100.8,35.84,4.899,5.498,96.0,36.78,51.39,9.23,46.141,0.0,404.0,752.689,0.05835443037974683
0.69,0.0,0.0,0.928,0.296,22.82,53.28,0.0,0.0,0.0,40.64,0.0,3.8516335443037963
0.7,0.0,0.0,0.9,0.268,45.95,47.32,0.0,0.0,0.0,24.5,0.0,0.6188278481012658
1.03,0.0,0.0,0.89,0.2,20.04,55.87,0.0,0.0,0.0,36.59,0.0,0.7713981012658226
1.01,0.0,0.0,0.935,0.528,17.48,52.44,0.0,0.0,0.0,22.96,0.0,0.11143607594936707
0.98,0.0,0.0,0.93,0.453,19.73,0.0,0.0,0.0,0.0,31.0,0.0,0.38709810126582284
0.95,0.0,0.0,0.89,0.791,20.41,0.0,0.0,0.0,0.0,31.86,0.0,1.1912012658227846
0.79,0.0,0.0,0.89,0.452,52.39,0.0,0.0,0.0,0.0,22.98,0.0,0.7913708860759495
0.71,0.0,0.0,0.88,0.441,22.01,0.0,0.0,0.0,0.0,32.53,0.0,2.036837341772152
0.71,0.0,0.0,0.88,0.406,20.61,0.0,0.0,0.0,0.0,35.39,0.0,0.8130974683544302
0.93,0.0,0.0,0.89,0.35,19.51,0.0,0.0,0.0,0.0,19.36,0.0,3.9648303797468363
0.92,0.0,0.0,0.89,0.35,20.09,0.0,0.0,0.0,0.0,19.11,0.0,1.7953626582278481
0.81,0.0,0.0,0.89,0.318,20.35,0.0,0.0,0.0,0.0,19.94,0.0,0.6770139240506327
0.71,0.0,0.0,0.88,0.283,16.85,0.0,0.0,0.0,0.0,18.6,0.0,0.5446537974683544
0.57,0.0,0.0,0.89,0.351,18.0,0.0,0.0,2.183,0.0,17.86,0.0,0.14550000000000002
0.69,0.0,0.0,0.89,0.35,17.18,0.0,0.0,4.024,0.0,17.37,0.0,0.745793670886076
0.69,0.0,0.0,0.89,0.321,19.04,0.0,0.0,3.505,0.0,16.63,0.0,0.04831772151898734
0.78,0.0,0.0,0.99,0.3,19.38,3.209,0.0,2.968,0.0,21.4,0.0,0.46416708860759487
0.72,1.8,0.0,0.95,0.302,20.81,6.944,0.0,2.609,0.0,35.81,0.0,9.559707594936704
